Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.77     0.00   245038     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.77     0.00   245038     0.00     0.00  int* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.77     0.00   245038     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      0.77     0.00   245038     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.77     0.00   243776     0.00     0.00  std::_Rb_tree<std::vector<int, std::allocator<int> >, std::pair<std::vector<int, std::allocator<int> > const, int>, std::_Select1st<std::pair<std::vector<int, std::allocator<int> > const, int> >, std::less<std::vector<int, std::allocator<int> > >, std::allocator<std::pair<std::vector<int, std::allocator<int> > const, int> > >::_M_begin()
  0.00      0.77     0.00   243775     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.77     0.00   243775     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.77     0.00   243775     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<std::vector<int, std::allocator<int> > const, int> > const&, std::_Rb_tree_iterator<std::pair<std::vector<int, std::allocator<int> > const, int> > const&)
  0.00      0.77     0.00   243774     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.77     0.00   243774     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.77     0.00   243774     0.00     0.00  std::map<std::vector<int, std::allocator<int> >, int, std::less<std::vector<int, std::allocator<int> > >, std::allocator<std::pair<std::vector<int, std::allocator<int> > const, int> > >::lower_bound(std::vector<int, std::allocator<int> > const&)
  0.00      0.77     0.00   243774     0.00     0.00  std::map<std::vector<int, std::allocator<int> >, int, std::less<std::vector<int, std::allocator<int> > >, std::allocator<std::pair<std::vector<int, std::allocator<int> > const, int> > >::end()
  0.00      0.77     0.00   243774     0.00     0.00  std::map<std::vector<int, std::allocator<int> >, int, std::less<std::vector<int, std::allocator<int> > >, std::allocator<std::pair<std::vector<int, std::allocator<int> > const, int> > >::operator[](std::vector<int, std::allocator<int> > const&)
  0.00      0.77     0.00   243774     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
